Código Faculdade;Código Curso;Provas de ingresso;Nota candidatura;Pontos provas de ingresso;Média do secundário;Provas de ingresso
0140;8086;02 Biologia e Geologia 07 Física e Química;95 pontos;95 pontos;50%;50%
0140;9022;02 Biologia e Geologia e Uma das seguintes provas: 04 Economia 07 Física e Química 16 Matemática 19 Matemática A;95 pontos;95 pontos;50%;50%
0140;L344;Um dos seguintes conjuntos: 09 Geografia 18 Português ou 11 História 18 Português ou 02 Biologia e Geologia 19 Matemática A;95 pontos;95 pontos;50%;50%
0150;9135;Duas das seguintes provas: 06 Filosofia 11 História 18 Português;95 pontos;95 pontos;50%;50%
0150;9181;Um dos seguintes conjuntos: 11 História 18 Português ou 12 Hist. da Cultura e Artes 18 Português ou 06 Filosofia 11 História;95 pontos;95 pontos;50%;50%
0150;9219;Um dos seguintes conjuntos: 02 Biologia e Geologia 18 Português ou 17 Mat. Apl. Ciências Soc. 18 Português ou 02 Biologia e Geologia 19 Matemática A;95 pontos;95 pontos;50%;50%
0150;9238;18 Português e Uma das seguintes provas: 02 Biologia e Geologia 04 Economia 06 Filosofia 11 História 16 Matemática;95 pontos;95 pontos;50%;50%
0150;9240;Duas das seguintes provas: 04 Economia 11 História 18 Português;95 pontos;95 pontos;50%;50%
0150;9240;Duas das seguintes provas: 04 Economia 11 História 18 Português;95 pontos;95 pontos;50%;50%
0150;9652;Duas das seguintes provas: 04 Economia 11 História 18 Português;95 pontos;95 pontos;50%;50%
0150;9853;17 Mat. Apl. Ciências Soc. 18 Português;95 pontos;95 pontos;50%;50%
0150;L041;Um dos seguintes conjuntos: 13 Inglês 18 Português ou 13 Inglês 15 Literatura Portuguesa ou 13 Inglês 15 Literatura Portuguesa 18 Português;95 pontos;95 pontos;50%;50%
0160;8083;02 Biologia e Geologia 07 Física e Química 19 Matemática A;140 pontos;140 pontos;50%;50%
0160;8524;Um dos seguintes conjuntos: 02 Biologia e Geologia 09 Geografia ou 02 Biologia e Geologia 16 Matemática ou 02 Biologia e Geologia 07 Física e Química;95 pontos;95 pontos;50%;50%
0160;8571;07 Física e Química 19 Matemática A;120 pontos;120 pontos;50%;50%
0160;9011;Um dos seguintes conjuntos: 02 Biologia e Geologia 07 Física e Química ou 02 Biologia e Geologia 16 Matemática ou 02 Biologia e Geologia 09 Geografia;95 pontos;95 pontos;50%;50%
0160;9185;Um dos seguintes conjuntos: 04 Economia 16 Matemática ou 07 Física e Química 16 Matemática ou 10 Geometria Descritiva 16 Matemática;95 pontos;95 pontos;50%;50%
0170;9081;Um dos seguintes conjuntos: 04 Economia 16 Matemática ou 16 Matemática 18 Português ou 11 História 16 Matemática;95 pontos;95 pontos;50%;50%
0170;9147;Duas das seguintes provas: 04 Economia 16 Matemática 18 Português;95 pontos;95 pontos;50%;50%
0170;9254;Um dos seguintes conjuntos: 11 História 18 Português ou 04 Economia 18 Português ou 16 Matemática 18 Português;95 pontos;95 pontos;50%;50%
0201;8509;Um dos seguintes conjuntos: 12 Hist. da Cultura e Artes 18 Português ou 11 História 18 Português ou 06 Filosofia 18 Português ou 09 Geografia 18 Português ou 09 Geografia 11 História ou 06 Filosofia 11 História;100 pontos;100 pontos;50%;50%
0201;9204;Um dos seguintes conjuntos: 13 Inglês 18 Português ou 08 Francês 18 Português ou 08 Francês 13 Inglês ou 05 Espanhol 18 Português ou 05 Espanhol 13 Inglês;100 pontos;100 pontos;50%;50%
0201;9219;Um dos seguintes conjuntos: 02 Biologia e Geologia 18 Português ou 17 Mat. Apl. Ciências Soc. 18 Português ou 06 Filosofia 18 Português ou 07 Física e Química 18 Português ou 02 Biologia e Geologia 16 Matemática ou 02 Biologia e Geologia 06 Filosofia;100 pontos;100 pontos;50%;50%
0201;9817;Duas das seguintes provas: 03 Desenho 10 Geometria Descritiva 12 Hist. da Cultura e Artes 18 Português;100 pontos;100 pontos;50%;50%
0201;9821;Um dos seguintes conjuntos: 06 Filosofia 18 Português ou 02 Biologia e Geologia 18 Português ou 11 História 18 Português ou 17 Mat. Apl. Ciências Soc. 18 Português ou 06 Filosofia 11 História ou 06 Filosofia 17 Mat. Apl. Ciências Soc.;100 pontos;100 pontos;50%;50%
0201;L252;Um dos seguintes conjuntos: 13 Inglês 18 Português ou 08 Francês 13 Inglês ou 06 Filosofia 18 Português ou 05 Espanhol 18 Português ou 05 Espanhol 13 Inglês;100 pontos;100 pontos;50%;50%
0203;8258;Um dos seguintes conjuntos: 02 Biologia e Geologia 18 Português ou 19 Matemática A 18 Português ou 03 Desenho 18 Português;100 pontos;100 pontos;50%;50%
0203;9003;Um dos seguintes conjuntos: 02 Biologia e Geologia 16 Matemática ou 02 Biologia e Geologia 07 Física e Química ou 02 Biologia e Geologia 18 Português;100 pontos;100 pontos;50%;50%
